"","Year","Pre-tax factor income","Pre-tax national income","Post-tax disposable income"
"1",2004,37.14966367713,30.8015695067265,20.5016816143498
"2",2005,38.1298667867945,29.1460196923869,20.0527704485488
"3",2006,38.8000546672133,29.3904605712724,18.839688396884
"4",2007,39.3762325615368,28.7415090205244,19.2096998027902
"5",2008,39.8055931798263,27.8782567126125,16.2218149948211
"6",2009,40.1946048572107,28.5024918914643,16.3357329325212
"7",2010,41.9090359886079,27.4100284801933,15.7590403037887
"8",2011,41.2539754656974,28.9595638346206,15.6019990913221
"9",2012,41.0562610377596,28.6939702295854,15.8270961231183
"10",2013,41.8384269130538,29.0452499407723,14.9411671799731
"11",2014,40.8296633044467,28.4628498366245,16.3801676374485
"12",2015,40.5060537954035,29.4714710360328,17.0158776190821
"13",2016,39.5495222205369,29.5009858941301,17.8977703625057
