"","Year","Pre-tax factor income","Pre-tax national income","Post-tax disposable income"
"1",2004,28.5477395706057,24.9781811834526,17.324140338628
"2",2005,27.9207920792079,24.1501650165017,15.8168316831683
"3",2006,29.1497975708502,25.1188171096638,16.8984333744059
"4",2007,30.6769650159019,26.0063607451159,16.5470240799637
"5",2008,31.7104998996186,24.81429431841,15.790002007629
"6",2009,32.4710545530406,25.9726713257536,14.1337227495567
"7",2010,32.4483082706767,25.6109022556391,13.5573308270677
"8",2011,33.8244397672403,26.4083199207627,14.4979571623127
"9",2012,33.021771343896,25.6354724723584,13.256582696911
"10",2013,32.4139405601882,25.839213170836,12.4866367329485
"11",2014,32.8738670694864,26.255664652568,13.8406344410876
"12",2015,31.5730019768427,25.4918572907841,14.6286359785371
"13",2016,31.6296441910753,25.6536268920778,14.89089836839
