"","Jahr","Mittelwert","Median","Gini","Top10%"
"1",2004,29289.6878389128,24465.9316047894,0.379057558451083,0.214036548173699
"2",2005,29462.4087614232,24227.9116465863,0.388444509815591,0.236525303558795
"3",2006,30652.8433108373,24707.545357524,0.393795259704036,0.264202778792435
"4",2007,32215.4301991744,26237.867329458,0.397230751831587,0.30163965968793
"5",2008,31654.0590600106,26104.1155778894,0.390947326079582,0.280241288889563
"6",2009,31511.6019017185,26468.3951699289,0.383030047384224,0.261208843411561
"7",2010,31770.5598136668,24959.6275925298,0.407781111635082,0.316847009137243
"8",2011,30826.6154881572,24891.4002242878,0.395163372149236,0.284434895495553
"9",2012,30253.202937162,25058.6133512545,0.381354016623549,0.272033803018755
"10",2013,31394.0655612775,25008.0561551194,0.395320689474266,0.298203351970672
"11",2014,31891.8283377061,25553.52,0.400123546781862,0.308503476234652
"12",2015,33146.7442663432,27225.2735517987,0.386306609775863,0.306380809370896
"13",2016,34228.2613884579,27603.1823083204,0.385114483892957,0.315716800470656
