"","Jahr","Mittelwert","Median","Gini","P80/P20","Top10%","P90/P10"
"1",2004,25023.8504351655,21979.1020967442,0.300478996619363,4.60826591129609,0.199289535776525,7.17321238387381
"2",2005,25769.6342947844,22267.1360767746,0.306946390748127,4.73916753216825,0.221857297179006,7.73986831626146
"3",2006,26801.1582642871,22788.7922635438,0.310315163506167,4.70942218481292,0.255200180236813,7.24092500295334
"4",2007,28672.9147965071,24596.4576133607,0.304733665825428,4.64060752435335,0.292575605556818,7.20733011380357
"5",2008,28386.4050436157,24744.2672343905,0.297687673301138,4.51251930687327,0.276440323910172,7.10814252481679
"6",2009,28290.9465790324,25054.054192229,0.278453333139394,4.07244649013567,0.251627814821718,6.17379122393662
"7",2010,27287.0477789471,23361.9958419958,0.296841468128522,4.42989527179236,0.256701327576666,6.78751862433095
"8",2011,25821.842327289,22720.5395847593,0.283437056818896,4.24823301143862,0.214901174649754,6.60899438816177
"9",2012,24321.1688237781,21144.6248559908,0.281582247425538,4.14612340865708,0.186915699470821,6.42480583928075
"10",2013,24622.4458664971,21298.1607066403,0.290596985706872,4.27978806575922,0.189468602735954,6.68559181210436
"11",2014,24972.2720826295,21400.4567909573,0.298139210261566,4.49592428065049,0.22339711523824,6.93437948902689
"12",2015,26904.9790747328,23559.7928571429,0.285333982067627,4.21627166934049,0.23649589186039,6.29761739721744
"13",2016,27698.1855622866,24323.3266533066,0.282012350461496,4.13314260712545,0.244491162400633,6.31478682187883
