"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,8325.86786114222,14930.9443822322,24465.9316047894,36428.4801916307,51820.5007613824,29289.6878389128
"2",2005,8020.46549835706,14601.052260992,24227.9116465863,36692.2234392114,53083.753423367,29462.4087614232
"3",2006,8259.42216801342,14893.4852211034,24707.545357524,38449.6150327794,56558.249733191,30652.8433108373
"4",2007,8342.04356846473,15112.8198478562,26237.867329458,41768.4350918791,60236.755334914,32215.4301991744
"5",2008,8545.40703517588,15514.1541038526,26104.1155778894,40319.3005025126,58299.3676716918,31654.0590600106
"6",2009,9073.50850036757,15410.9991235758,26468.3951699289,40665.8774307492,58055.6973415133,31511.6019017185
"7",2010,8752.24948024948,14485.9036882803,24959.6275925298,40506.8211068211,61661.7623672387,31770.5598136668
"8",2011,8300.78835435612,13932.0784850559,24891.4002242878,39508.2238193018,58835.9944623964,30826.6154881572
"9",2012,8707.80086848635,14656.539928609,25058.6133512545,39495.4421082949,59085.9408602151,30253.202937162
"10",2013,9093.74791039786,14754.5096828948,25008.0561551194,40416.7293547309,60462.5727181545,31394.0655612775
"11",2014,8618.66666666667,14827.6066666667,25553.52,40927.4574375952,62311.2,31891.8283377061
"12",2015,9287.105,15963.2555555556,27225.2735517987,42913.972,63433.655,33146.7442663432
"13",2016,10149.885751784,16523.7048127811,27603.1823083204,42514.1875710992,62734.9653004816,34228.2613884579
