"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,0,0,12539.9868831737,33857.964584569,55533.1316422488,22469.0343214959
"2",2005,0,0,12519.6594403103,33370.5668037079,54585.3012314943,22263.2209951409
"3",2006,0,0,12612.6966790214,34853.1604396306,56949.6189500996,23036.3971140362
"4",2007,0,0,13153.7472220937,35696.8774982228,59714.9486906055,23919.0819558397
"5",2008,0,0,11736.0687332305,32415.3916496915,54979.9207856681,22052.7751100175
"6",2009,0,0,9839.1828639316,31448.4408219894,56548.3442663355,20684.3189863257
"7",2010,0,0,6019.00342726701,31120.8201630022,56395.3408339186,20015.4268351225
"8",2011,0,0,5837.96128910424,28546.4478393625,55881.2918670099,19085.4335359308
"9",2012,0,0,5212.02255370929,28644.7792564721,52885.9797900201,18276.00908414
"10",2013,0,0,5030.13554203232,29336.2839711924,53539.3588808826,19027.0897905282
"11",2014,0,0,7366.96486700444,30624.50963857,54492.0861468302,19888.2599113898
"12",2015,0,0,9416.87474750847,32308.9805898617,56700.594136687,21011.7260781119
"13",2016,0,0,10246.6261478457,33047.5726892204,57222.5477117274,22003.1588171553
