"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,7577.29747735835,14355.7577068706,23429.849765029,35690.8799445334,50929.7044125659,29048.1481143779
"2",2005,8378.47904439596,15270.4951933865,24515.8979901998,36500.4570806061,51742.9050512506,29878.8332509675
"3",2006,7935.19549887766,15066.8792052705,24889.7743440639,37806.9855387651,54369.2321023848,30861.0870234879
"4",2007,7229.84792220328,14996.2273229428,25705.4845003247,40036.7669082888,58056.2865707819,31691.3147766455
"5",2008,8235.29982518013,15711.9924080207,25698.5155334356,39523.3782361772,56577.2349526816,31714.6416021975
"6",2009,9477.00628209355,16762.1521071547,26986.8475610101,40668.6665663906,58681.1810849684,32678.6464157473
"7",2010,9495.94327737632,16518.6644548215,26931.2544360942,39427.2796347796,56523.9312134724,32502.3400254512
"8",2011,8194.65571527724,15342.0214049592,25295.1764303424,38808.6696122167,56210.0702301387,30502.0706023929
"9",2012,8064.99875658384,14733.5739512339,23860.9776202349,36555.2063125441,52809.1121042339,28933.0788271378
"10",2013,8092.44089600947,14293.7508718073,23930.6435124769,36474.9247044545,52717.1724329371,29429.8589697498
"11",2014,8477.25661360475,15084.0396010362,24220.373185921,36274.2021268072,53857.7161385498,29973.4258488082
"12",2015,9550.04360098456,15921.9577818497,25358.2783096495,37802.9153733297,56451.0861995977,31157.5751260673
"13",2016,9726.7879274233,16155.9137082228,25761.3841998822,39940.8100662687,56604.9324372303,32109.5265965795
