"","Year","10th","25th","Median","75th","90th","Mean","10th_ch","25th_ch","Median_ch","75th_ch","90th_ch","Mean_ch"
"1",2004,3433.22178511809,11065.2189366174,22072.14,35360.595979827,52000,27667.0804884606,1,1,1,1,1,1
"2",2005,4129.42975585194,12001.4,23481,37000,54832.3127013473,29026.3096017325,1.20278560906018,1.084605742439,1.06382978723404,1.04636245444246,1.05446755194899,1.04912802830204
"3",2006,4174.4,11578.6710263895,24276.6412709341,39607.723158564,59530.6373101812,30645.713669727,1.21588416399275,1.04640234347943,1.09987709714301,1.12010903835331,1.14481994827271,1.10765982997406
"4",2007,3063.91526255285,9696.12913582282,23929.2318367574,40979.310830852,64469.2327659702,31072.5713179734,0.892431498551576,0.876270880075948,1.08413737121808,1.15889762871165,1.23979293780712,1.12308818890136
"5",2008,2858.78298279374,10436,24265.7281531613,41597.9387777609,63491.6347379753,31560.6182855349,0.832682291364237,0.943135428207822,1.09938266761453,1.17639246808771,1.22099297573029,1.14072817689232
"6",2009,3300,11866.2136432737,24290.6946509651,41964.6687544391,63475.2940134526,31545.4661756623,0.961196277591049,1.07238850954911,1.10051379934003,1.18676361615567,1.22067873102794,1.14018051846198
"7",2010,2575.78765699351,10638.6507062502,24356.4650092764,42348.676683873,65154.7404078241,31505.7774263318,0.750253790232463,0.961449634859402,1.10349359007674,1.19762338587372,1.25297577707354,1.13874600681023
"8",2011,2892.01249478798,10146.5852320614,22979.3779163851,43337.9908230189,65835.7250387706,30911.879684669,0.842361104465762,0.916980069728574,1.04110330563258,1.22560125535619,1.26607163536097,1.11728014445043
"9",2012,2800,10766.4869819367,24469.8045879378,42813.4190433826,65422.0040767063,30972.291178129,0.815560477956041,0.973002616903294,1.10862855110278,1.21076633062993,1.25811546301358,1.11946365974707
"10",2013,2660,11000,24641.8217632332,43769.9291860417,66675.5022511667,32826.6798972116,0.774782454058239,0.9941059515414,1.11642195832544,1.23781650091566,1.28222119713782,1.18648875550505
"11",2014,3254.12853552434,12000,25599.2353301219,44804.1335742553,67337.5077331847,33719.7847902961,0.947835222772365,1.08447921986335,1.15979852112763,1.26706386961961,1.29495207179201,1.21876917242352
"12",2015,3180.30350359467,12000,25724.5953959665,44992.5752343003,67877.2551884736,33985.507914947,0.92633208765605,1.08447921986335,1.16547808214185,1.2723930122662,1.30533183054757,1.22837347905651
"13",2016,3501.99183296259,12516.9455720917,26561.8054689238,45835.8803412133,68411.1169615589,34838.0809567464,1.02003076181754,1.13119728075783,1.20340870748934,1.29624173663143,1.3155984031069,1.25918891121442
