"","Jahr","10%","25%","Median","75%","90%","Mean"
"1",2004,7868.38666666667,11276.3858932419,17659.2798238206,25107.07,34159.0239373453,20339.2462133293
"2",2005,8269.08932454416,11979.8706968373,18255.2555555556,26228.0380952381,35520.4054143088,21316.5807182532
"3",2006,9279.88035085154,12783.9515856548,19189.55231712,27976.2913043478,38805.8586398576,22938.9422409134
"4",2007,10558.3522973153,14413.4870967742,21427.8571428571,31796.5875,43580.02,25522.2920671025
"5",2008,10606.0933333333,15301.2149250162,22374.1778512777,32305.4952380952,43635.1285714286,26082.7610356045
"6",2009,10678.24375,14965.788,21828.3133333333,31146.15,41659.5217391304,24907.658385207
"7",2010,9783.66648082275,13602.9447107116,19704.5333333333,28513.1363594932,39752.7723899614,23279.3396079424
"8",2011,9318.35633543763,13380.5733333333,19141.5542857143,27952.2285714286,38915.1,22364.6157298778
"9",2012,8943.82950055508,13008,18514.7400566813,26721,36660.55,21486.4613226115
"10",2013,9414.43254363328,13125.4618948273,18441.8777777778,26948.4,37586.9109326883,21846.005151144
"11",2014,9383.82241233888,13310.84,18833.1086307487,27172.4373813275,38403.3458333333,22354.5156042069
"12",2015,10085.2148566112,14395.46,20957.7461538462,30336.2428571429,41152.9555555555,24262.1538551712
"13",2016,10387.7142857143,14767.5607142857,21663.875,30513.3933028881,41369.1126783091,24905.6824094994
