"","Year","10th","25th","Median","75th","90th","Mean","P80/P20 ratio"
"1",2004,6766.526647281,12819.6916322355,20922.8558401709,31871.9557904684,45480.2260404214,25939.9962661395,9.27620370347034
"2",2005,7649.55136753351,13941.9621115619,22383.0148650524,33324.9173145934,47241.2723117918,27279.3747581334,8.40125650327723
"3",2006,7435.27818244837,14117.6658153385,23321.7185603879,35425.145449823,50943.9704799346,28916.8385410081,9.3654419811248
"4",2007,6969.57339700396,14456.3631393169,24780.087058313,38595.4432995904,55966.2602542337,30550.4274446863,10.4586664624056
"5",2008,8194.12332605423,15633.4324459806,25570.0229557684,39325.7613449963,56294.3487779182,31556.0683941865,9.11631172671528
"6",2009,9268.51214388749,16393.3847607973,26393.1369146679,39773.95590193,57390.1951010991,31959.7161946009,8.12721847265586
"7",2010,9135.09743283602,15890.9552055383,25907.8667675226,37929.043008658,54376.0218273605,31267.251104484,8.22296088678186
"8",2011,7981.59466668003,14943.1288484303,24637.5018431535,37799.644202299,54748.6084041551,29709.0167667307,8.59419874312583
"9",2012,8000.47876653117,14615.705359624,23670.089799273,36262.7646620438,52386.6392074,28701.6141965207,8.40010928760932
"10",2013,8068.16357332144,14250.8696191919,23858.8515819395,36365.4999303411,52559.0209156383,29341.5693928405,8.99006524379447
"11",2014,8477.25661360475,15084.0396010362,24220.373185921,36274.2021268072,53857.7161385498,29973.4258488082,8.49671856123233
"12",2015,9550.04360098456,15921.9577818497,25358.2783096495,37802.9153733297,56451.0861995977,31157.5751260673,8.01904089056558
"13",2016,9707.33435156845,16123.6018808064,25709.8614314824,39860.9284461362,56491.7225723559,32045.3075433863,8.08118761292195
