"","age","sex","unit","geo","time","values"
"1","Y_LT25","T","PC_ACT","IE","2004",8.8
"2","Y_LT25","T","PC_ACT","IE","2005",8.7
"3","Y_LT25","T","PC_ACT","IE","2006",8.8
"4","Y_LT25","T","PC_ACT","IE","2007",9.2
"5","Y_LT25","T","PC_ACT","IE","2008",13.5
"6","Y_LT25","T","PC_ACT","IE","2009",24.5
"7","Y_LT25","T","PC_ACT","IE","2010",28.1
"8","Y_LT25","T","PC_ACT","IE","2011",29.6
"9","Y_LT25","T","PC_ACT","IE","2012",30.8
"10","Y_LT25","T","PC_ACT","IE","2013",26.7
"11","Y_LT25","T","PC_ACT","IE","2014",23.4
"12","Y_LT25","T","PC_ACT","IE","2015",20.2
"13","Y_LT25","T","PC_ACT","IE","2016",16.8
