"","age","sex","unit","geo","time","values"
"1","Y_LT25","T","PC_ACT","IE","1995",19.5
"2","Y_LT25","T","PC_ACT","IE","1996",18.2
"3","Y_LT25","T","PC_ACT","IE","1997",15.4
"4","Y_LT25","T","PC_ACT","IE","1998",11.3
"5","Y_LT25","T","PC_ACT","IE","1999",9.4
"6","Y_LT25","T","PC_ACT","IE","2000",6.9
"7","Y_LT25","T","PC_ACT","IE","2001",7.3
"8","Y_LT25","T","PC_ACT","IE","2002",8.5
"9","Y_LT25","T","PC_ACT","IE","2003",8.9
"10","Y_LT25","T","PC_ACT","IE","2004",8.8
"11","Y_LT25","T","PC_ACT","IE","2005",8.7
"12","Y_LT25","T","PC_ACT","IE","2006",8.8
"13","Y_LT25","T","PC_ACT","IE","2007",9.2
"14","Y_LT25","T","PC_ACT","IE","2008",13.5
"15","Y_LT25","T","PC_ACT","IE","2009",24.5
"16","Y_LT25","T","PC_ACT","IE","2010",28.1
"17","Y_LT25","T","PC_ACT","IE","2011",29.6
"18","Y_LT25","T","PC_ACT","IE","2012",30.8
"19","Y_LT25","T","PC_ACT","IE","2013",26.7
"20","Y_LT25","T","PC_ACT","IE","2014",23.4
"21","Y_LT25","T","PC_ACT","IE","2015",20.2
"22","Y_LT25","T","PC_ACT","IE","2016",16.8
"23","Y_LT25","T","PC_ACT","IE","2017",14.4
